Rank,Count,Score,Text,Author-last,Author-first,Date
446,453,55.9,Guns Germs and Steel,Diamond,Jared M.,
447,453,55.9,A Short Guide to Writing About Film,Corrigan,Timothy,
448,453,55.9,Kubla Khan,Coleridge,Samuel Taylor,1772-1834
449,452,55.8,Sister Carrie,Dreiser,Theodore,1871-1945
450,452,55.8,Illuminations,Benjamin,Walter,1892-1940
451,452,55.8,The Joy Luck Club,Tan,Amy,
452,452,55.8,The Cask of Amontillado,Poe,Edgar Allan,1809-1849
453,451,55.7,A Treatise of Human Nature,Hume,David,1711-1776
454,450,55.5,UNIX Network Programming,Stevens,W. Richard,
455,450,55.5,The Road to Serfdom,Hayek,Friedrich A. Von (Friedrich August),1899-1992
456,447,55.4,Henry IV,Shakespeare,William,1564-1616
457,447,55.4,The C++ Programming Language,Stroustrup,Bjarne,
458,445,55.3,Institutional and Economic Change,North,Douglass Cecil,
459,445,55.3,A Vindication of the Rights of Women,Wollstonecraft,Mary,1759-1797
460,444,55.2,Teacher Education,Young,Jay,
461,443,55,An Essay on Man,Pope,Alexander,1688-1744
462,443,55,Selected Writings,Marx,Karl,1818-1883
463,442,54.9,Qualitative Evaluation Methods,Patton,Michael Quinn,
464,442,54.9,A Short Guide to Writing About Art,Barnet,Sylvan,
465,441,54.8,In Memoriam,Tennyson,Baron Alfred Tennyson,1809-1892
466,441,54.8,I Know Why the Caged Bird Sings,Angelou,Maya,
467,440,54.6,Discourse on Method ; And Meditations,Descartes,René,1596-1650
468,440,54.6,A Tale of Two Cities,Dickens,Charles,1812-1870
469,439,54.5,Persuasion,Austen,Jane,1775-1817
470,439,54.5,Two Treatises of Government,Locke,John,1632-1704
471,439,54.5,Discovering Statistics Using R,Field,Andy P.,
472,439,54.5,A Dictionary of Music and Musicians (A.D. 1450-1889),Grove,Siir George,1820-1900
473,438,54.4,Style : Lessons in Clarity and Grace,Williams,Joseph M.,
474,438,54.4,Sense and Sensibility,Austen,Jane,1775-1817
475,437,54.3,The Golden Ass,Apuleius,,
476,437,54.3,Life-Span Development,Santrock,John W.,
477,437,54.3,Computer Graphics,Hearn,Donald,
478,436,54.1,The Spirit of the Laws,Montesquieu,Baron de Charles De Secondat,1689-1755
479,436,54.1,"The Science of ""Muddling Through",Lindblom,Charles E.,
480,436,54.1,Foucault,Deleuze,Gilles,1925-1995
481,436,54.1,Simulations,Baudrillard,Jean,1929-2007
482,434,54,Fahrenheit 451,Bradbury,Ray,1920-2012
483,433,53.9,Computing Machinery and Intelligence,Turing,A. M.,
484,433,53.9,Health,World Bank,,
485,433,53.9,Diplomacy,Kissinger,Henry,1923
486,433,53.9,Course in General Linguistics,Saussure,Ferdinand De,1857-1913
487,432,53.8,Being and Time,Heidegger,Martin,1889-1976
488,432,53.8,Advanced Macroeconomics,Romer,David,
489,431,53.6,Tools for Teaching,Davis,Barbara Gross,
490,431,53.6,Microeconomic Analysis,Varian,Hal R.,
491,431,53.6,Pharmacology for Nursing Care,Lehne,Richard A.,1943
492,430,53.5,As You Like It,Shakespeare,William,1564-1616
493,429,53.4,Hippolytus,Euripides,,
494,429,53.4,East of Eden,Steinbeck,John,1902-1968
495,429,53.4,Biochemistry,Voet,Donald,
496,428,53.2,Life on the Screen : Identity in the Age of the Internet,Turkle,Sherry,
497,428,53.2,American Pastoral,Roth,Philip,
498,426,53.1,Understanding by Design,Wiggins,Grant P.,1950
499,426,53.1,F. Chopin,Liszt,Franz,1811-1886
500,424,53,Do Androids Dream of Electric Sheep,Dick,Philip K.,
501,424,53,Computer Architecture : A Quantitative Approach,Hennessy,John L.,
502,423,52.9,Zen,Suzuki,Daisetz Teitaro,1870-1966
503,423,52.9,The Coming Anarchy,Kaplan,Robert D.,
504,421,52.7,Attachment,Bowlby,John,
505,421,52.7,Of Mice and Men,Steinbeck,John,1902-1968
506,421,52.7,The Red Badge of Courage,Crane,Stephen,1871-1900
507,420,52.6,Bleak House,Dickens,Charles,1812-1870
508,420,52.6,How to Lie With Statistics,Huff,Darrell,
509,419,52.5,Internetworking With TCP/IP,Comer,Douglas,
510,419,52.5,An Essay on Population,Malthus,T. R. (Thomas Robert),1766-1834
511,418,52.4,Angels in America,Kushner,Tony,
512,418,52.4,The Theory of the Leisure Class,Veblen,Thorstein,1857-1929
513,418,52.4,How to Read a Paper : The Basics of Evidence-Based Medicine,Greenhalgh,Trisha,
514,417,52.2,The Clash of Civilizations and the Remaking of World Order,Huntington,Samuel P.,
515,417,52.2,Nervous Conditions,Dangarembga,Tsitsi,
516,417,52.2,The Courtier Castiglione,Baldassarre,Conte,1478-1529
517,416,52.1,Doing Qualitative Research : A Practical Handbook,Silverman,David,
518,416,52.1,Justice as Fairness,Rawls,John,
519,415,52,The Soul of a New Machine,Kidder,Tracy,
520,414,51.8,Theory and Practice of Counseling and Psychotherapy,Corey,Gerald,
521,414,51.8,Organic Chemistry,Wade,L. G.,1947
522,413,51.7,Agendas Alternatives and Public Policies,Kingdon,John W.,
523,412,51.6,North America,Read,Frederick,
524,411,51.5,Qualitative Evaluation and Research Methods,Patton,Michael Quinn,
525,411,51.5,Qualitative Research & Evaluation Methods,Patton,Michael Quinn,
526,411,51.5,Database System Concepts,Korth,Henry F.,
527,411,51.5,Pygmalion,Shaw,Bernard,1856-1950
528,410,51.3,David Copperfield,Dickens,Charles,1812-1870
529,410,51.3,Exploring Corporate Strategy,Johnson,Gerry,
530,409,51.2,Existentialism and Humanism,Sartre,Jean Paul,1905-1980
531,409,51.2,Ozymandias,Shelley,Percy Bysshe,1792-1822
532,408,51.1,The McGraw-Hill Handbook,Maimon,Elaine P.,
533,408,51.1,Moll Flanders,Defoe,Daniel,1661?-1731
534,408,51.1,Computer Organization and Design : The Hardware/Software Interface,Patterson,David A.,
535,407,51,The Return of Martin Guerre,Davis,Natalie Zemon,1928
536,407,51,The Hero With a Thousand Faces,Campbell,Joseph,1904-1987
537,406,50.8,Persepolis,Satrapi,Marjane,1969
538,406,50.8,The Meditations,Marcus Aurelius,Emperor of Rome,121-180
539,405,50.7,The Wisdom of Crowds,Surowiecki,James,1967
540,404,50.6,Biochemistry,Berg,Jeremy Mark,
541,404,50.6,Prison Notebooks,Gramsci,Antonio,1891-1937
542,404,50.6,Hair Hair,Long,Debbie,
543,404,50.6,The Portrait of a Lady,James,Henry,1843-1916
544,401,50.4,Congress : The Electoral Connection,Mayhew,David R.,
545,401,50.4,Monte Cristo,Dumas,Alexandre,1802-1870
546,401,50.4,Images of Organization,Morgan,Gareth,1943
547,401,50.4,Fundamental Methods of Mathematical Economics,Chiang,Alpha C.,1927
548,401,50.4,The Heart Is a Lonely Hunter,McCullers,Carson,1917-1967
549,400,50.3,The Moviegoer,Percy,Walker,1916-1990
550,400,50.3,Machine Learning,Mitchell,Tom M. (Tom Michael),1951
551,399,50.2,Alice in Wonderland,Carroll,Lewis,1832-1898
552,398,50.1,The Penguin Handbook,Faigley,Lester,1947
553,397,49.9,The Last of the Mohicans,Cooper,James Fenimore,1789-1851
554,397,49.9,The Rite of Spring,Stravinsky,Igor,1882-1971
555,396,49.8,Statistics for Management and Economics,Keller,Gerald,
556,396,49.8,Herland,Gilman,Charlotte Perkins,1860-1935
557,396,49.8,The Known World,Jones,Edward P.,
558,395,49.7,Phenomenology of Spirit,Hegel,Georg Wilhelm Friedrich,1770-1831
559,395,49.7,Latin America,Thomas,Jack Ray,
560,395,49.7,Computer Networking : A Top-Down Approach,Kurose,James F.,
561,394,49.6,Subculture the Meaning of Style,Hebdige,Dick,
562,394,49.6,Cane,Toomer,Jean,1894-1967
563,393,49.4,Ode to a Nightingale,Keats,John,1795-1821
564,393,49.4,The Negro Speaks of Rivers,Hughes,Langston,1902-1967
565,392,49.3,Amusing Ourselves to Death,Postman,Neil,
566,391,49.2,Don Giovanni,Mozart,Wolfgang Amadeus,1756-1791
567,391,49.2,The Count of Monte-Cristo,Dumas,Alexandre,1802-1870
568,391,49.2,Introduction to the Theory of Computation,Sipser,Michael,
569,391,49.2,Reading and Writing,Field,Rachel,
570,391,49.2,The Hobbit,Tolkien,J. R. R. (John Ronald Reuel),1892-1973
571,391,49.2,The Praise of Folly,Erasmus,Desiderius,-1536
572,391,49.2,Introductory Econometrics : A Modern Approach,Wooldridge,Jeffrey M.,1960
573,389,49,The Apology of Socrates,Plato,,
574,389,49,Diplomacy and Domestic Politics: The Logic of Two-Level Games,Putnam,Robert D.,
575,388,48.9,Dialectic of Enlightenment,Horkheimer,Max,1895-1973
576,387,48.8,Hiroshima,Hersey,John,1914-1993
577,387,48.8,A First Course in Probability,Ross,Sheldon M.,
578,387,48.8,The Rite O' Spring,Stravinsky,,
579,386,48.7,Chemistry,Zumdahl,Steven S.,
580,386,48.7,Rite,Stravinsky,Igor,1882-1971
581,386,48.7,Optics,Hecht,Eugene,
582,386,48.7,The Bell Jar,Plath,Sylvia,
583,386,48.7,Famine Affluence and Morality,Singer,Peter,
584,385,48.5,Culture and Society 1780-1950,Williams,Raymond,
585,385,48.5,The First World War,Keegan,John,1934
586,385,48.5,Tom Jones,Fielding,Henry,1707-1754
587,384,48.4,Seize the Day,Bellow,Saul,
588,382,48.3,The Trial of Socrates,Plato,,
589,382,48.3,Image Music Text,Barthes,Roland,
590,381,48.2,Fundamentals of Corporate Finance,Ross,Stephen A.,
591,381,48.2,Eumenides,Aeschylus,,
592,380,48,Confessions,Rousseau,Jean-Jacques,1712-1778
593,379,47.9,Distinction : A Social Critique of the Judgement of Taste,Bourdieu,Pierre,1930-2002
594,379,47.9,The Lady of Shalott,Tennyson,Baron Alfred Tennyson,1809-1892
595,379,47.9,Democracy and Education,Dewey,John,1859-1952
596,379,47.9,Lenin,Trotsky,Leon,1879-1940
597,379,47.9,World Heritage 2008-09,Unesco,,
598,378,47.8,Dr. Faustus,Marlowe,Christopher,1564-1593
599,377,47.6,My Antonia,Cather,Willa,1873-1947
600,376,47.5,George Washington,Jefferson,Thomas,
601,376,47.5,The Emancipation Proclamation,Lincoln,Abraham,1809-1865
602,376,47.5,Encounters With the Archdruid,McPhee,John,1931
603,375,47.4,The Plague,Camus,Albert,1913-1960
604,375,47.4,The Cherry Orchard,Chekhov,Anton Pavlovich,1860-1904
605,375,47.4,Tradition and the Individual Talent,Eliot,T. S.,
606,374,47.3,Don Juan,Byron,Baron George Gordon Byron,1788-1824
607,374,47.3,Much Ado About Nothing,Shakespeare,William,1564-1616
608,373,47.1,Introduction to Electrodynamics,Griffiths,David J. (David Jeffery),1942
609,372,47,Marx,McLellan,David,
610,371,46.9,Code and Other Laws of Cyberspace,Lessig,Lawrence,
611,371,46.9,Computer Architecture : A Quantitative Approach,Patterson,David A.,
612,371,46.9,The Philosophy of History,Hegel,Georg Wilhelm Friedrich,1770-1831
613,371,46.9,A Farewell to Arms,Hemingway,Ernest,1899-1961
614,370,46.8,Richard III,Shakespeare,William,1564-1616
615,370,46.8,Experience and Education,Dewey,John,1859-1952
616,368,46.6,Timaeus,Plato,,
617,367,46.5,The Origins of Totalitarianism,Arendt,Hannah,1906-1975
618,367,46.5,The Rover,Behn,Aphra,1640-1689
619,367,46.5,Endgame,Beckett,Samuel,1906-1989
620,366,46.4,Selected Writings 1877-1930,Power,Sir D'Arcy,1855-1941
621,365,46.2,Gargantua,Rabelais,François,1490-1553
622,365,46.2,Hegel,Heidegger,Martin,1889-1976
623,365,46.2,Institutes of the Christian Religion,Calvin,Jean,1509-1564
624,364,46.1,The Developing Person,Berger,Kathleen Stassen,
625,363,46,A Short Guide to Writing About History,Marius,Richard,
626,363,46,Mansfield Park,Austen,Jane,1775-1817
627,363,46,On the Genealogy of Morals,Nietzsche,Friedrich Wilhelm,1844-1900
628,363,46,Economic Development,Todaro,Michael P.,
629,361,45.9,Microelectronic Circuits,Sedra,Adel S.,
630,361,45.9,What Is to Be Done,Lenin,Vladimir Ilʹich,1870-1924
631,360,45.7,Understanding Media : The Extensions of Man,McLuhan,Marshall,1911-1980
632,359,45.6,Ethics,Spinoza,Benedictus De,1632-1677
633,359,45.6,A Rulebook for Arguments,Weston,Anthony,1954
634,359,45.6,Fairy Tales,Grimm,Albert Ludwig,1786-1872
635,359,45.6,Social Learning Theory,Bandura,Albert,1925
636,359,45.6,The English Language,Crystal,David,1941
637,358,45.5,The Cambridge Encyclopedia of Language,Crystal,David,1941
638,358,45.5,Gender: A Useful Category of Historical Analysis,Scott,Joan W.,
639,358,45.5,The Mill on the Floss,Eliot,George,1819-1880
640,358,45.5,On the Social Contract,Rousseau,Jean-Jacques,1712-1778
641,358,45.5,On Being Sane in Insane Places,Rosenhan,D. L.,
642,357,45.4,Absalom Absalom,Faulkner,William,1897-1962
643,357,45.4,Modern Latin America,Skidmore,Thomas E.,
644,356,45.2,What Is History,Carr,Edward Hallett,1892-1982
645,356,45.2,TCP/IP Illustrated,Stevens,W. Richard,
646,356,45.2,Music for Sight Singing,Ottman,Robert W.,
647,356,45.2,Archaeology,Renfrew,Colin,
648,355,45.1,The Division of Labor in Society,Durkheim,Émile,1858-1917
649,355,45.1,A Small Place,Kincaid,Jamaica,
650,355,45.1,Jimmy Corrigan : The Smartest Kid on Earth,Ware,Chris,1967
651,355,45.1,The Ideological Origins of the American Revolution,Bailyn,Bernard,
652,355,45.1,An Essay on the Principle of Population,Malthus,T. R. (Thomas Robert),1766-1834
653,354,45,The Leadership Challenge,Kouzes,James M.,1945
654,354,45,The Strange Case of Dr. Jekyll and Mr. Hyde,Stevenson,Robert Louis,1850-1894
655,354,45,Astronomy Today,Chaisson,Eric,
656,354,45,Rosencrantz and Guildenstern Are Dead,Stoppard,Tom,
657,353,44.8,Fear and Trembling,Kierkegaard,Søren,1813-1855
658,353,44.8,Questionnaire Design and Attitude Measurement,Oppenheim,A. N. (Abraham Naftali),1924
659,353,44.8,Love Medicine,Erdrich,Louise,
660,352,44.7,The Principles of Scientific Management,Taylor,Frederick Winslow,1856-1915
661,351,44.6,Do Not Go Gentle Into That Good Night,Thomas,Dylan,1914-1953
662,351,44.6,A Clockwork Orange,Burgess,Anthony,1917-1993
663,351,44.6,Introduction to Solid State Physics,Kittel,Charles,
664,351,44.6,United States History,Current,Richard Nelson,
665,351,44.6,Principles of Macroeconomics,Mankiw,N. Gregory,
666,350,44.5,Hedda Gabler,Ibsen,Henrik,1828-1906
667,350,44.5,Europe and the People Without History,Wolf,Eric R.,1923
668,349,44.3,Saunders Q & a Review for NCLEX-RN,Silvestri,Linda Anne,
669,349,44.3,Bless Me Ultima,Anaya,Rudolfo A.,
670,349,44.3,Symphonie Fantastique,Berlioz,Hector,1803-1869
671,349,44.3,The Taming of the Shrew,Shakespeare,William,1564-1616
672,349,44.3,The Basic Practice of Statistics,Moore,David S.,
673,349,44.3,Werther,Goethe,Johann Wolfgang Von,1749-1832
674,349,44.3,Decline and Fall,Gibbon,Edward,
675,348,44.2,Making Democracy Work : Civic Traditions in Modern Italy,Putnam,Robert D.,
676,348,44.2,The General Theory of Employment,Keynes,J. M.,
677,347,44.1,Theogony; And,Works and Days,Hesiod,
678,347,44.1,Anna Karenina,Tolstoy,Leo,1828-1910
679,346,43.9,Compulsory Heterosexuality and Lesbian Existence,Rich,Adrienne,1929-2012
680,345,43.8,Macroeconomic Theory,Sargent,Thomas J.,
681,345,43.8,The Frogs,Aristophanes,,
682,345,43.8,Snow Crash,Stephenson,Neal,
683,345,43.8,Wuthering Heights,Brontë,Emily,1818-1848
684,345,43.8,Orlando,Woolf,Virginia,1882-1941
685,344,43.7,Dialogues Concerning Natural Religion,Hume,David,1711-1776
686,344,43.7,Ethnography : Principles in Practice,Hammersley,Martyn,
687,344,43.7,M. Butterfly,Hwang,David Henry,1957
688,344,43.7,Essential Reading Rave Poverty & the Environment,Anthony,Carl,
689,344,43.7,Songs of Innocence and of Experience,Blake,William,1757-1827
690,343,43.6,How to Do Things With Words,Austin,J. L. (John Langshaw),1911-1960
691,342,43.4,Operating Systems : Internals and Design Principles,Stallings,William,
692,342,43.4,Twenty Years at Hull-House,Addams,Jane,1860-1935
693,342,43.4,The Strategy of Conflict,Schelling,Thomas C.,1921
694,342,43.4,Lehninger Principles of Biochemistry,Nelson,David L. (David Lee),1942-
695,341,43.3,Germania,Tacitus,Cornelius,
696,341,43.3,C++ : The Complete Reference,Schildt,Herbert,
697,341,43.3,The Search for Modern China,Spence,Jonathan D.,
698,341,43.3,Tristram Shandy,Sterne,Laurence,1713-1768
699,341,43.3,Education,World Bank,,
700,340,43.2,Siddhartha,Hesse,Hermann,1877-1962
701,340,43.2,Academe,Groves,Paul,
702,339,43.1,The Sheltering Sky,Bowles,Paul,1910-1999
703,339,43.1,Hitler,Kershaw,Ian,
704,339,43.1,Animal Liberation,Singer,Peter,1946
705,339,43.1,Race Matters,West,Cornel,
706,339,43.1,Tom Sawyer,Twain,Mark,1835-1910
707,339,43.1,Biochemistry,Garrett,R. (Reginald),
708,338,42.9,Political Liberalism,Rawls,John,1921-2002
709,338,42.9,Odyssey,Books 1-12,Homer,
710,338,42.9,Statistics for People Who (Think They) Hate Statistics,Salkind,Neil J.,
711,337,42.8,The Way to Rainy Mountain,Momaday,N. Scott,1934
712,337,42.8,Activists Beyond Borders : Advocacy Networks in International Politics,Keck,Margaret E.,
713,337,42.8,Questionnaire Design Interviewing and Attitude Measurement,Oppenheim,A. N. (Abraham Naftali),1924
714,337,42.8,Protagoras,Plato,,
715,337,42.8,Ecclesiastical History,Bede,the Venerable,673-735
716,336,42.7,Nineteen Eighty-Four,Orwell,George,1903-1950
717,335,42.5,The Problems of Philosophy,Russell,Bertrand,1872-1970
718,335,42.5,The Giver,Lowry,Lois,
719,335,42.5,The Supreme Court,Rehnquist,William H.,1924
720,334,42.4,The Duchess of Malfi,Webster,John,1580?-1625
721,334,42.4,Mechanics,Landau,L. D. (Lev Davidovich),1908-1968
722,334,42.4,Small Island,Levy,Andrea,1956
723,334,42.4,Operating Systems,Stallings,William,
724,334,42.4,An Introduction to Database Systems,Date,C. J.,
725,334,42.4,The Tell-Tale Heart,Poe,Edgar Allan,1809-1849
726,333,42.3,Organizational Culture and Leadership,Schein,Edgar H.,
727,333,42.3,The War of the Worlds,Wells,H. G. (Herbert George),1866-1946
728,333,42.3,Virginia Woolf,Eliot,T. S. (Thomas Stearns),1888-1965
729,333,42.3,The Trial and Death of Socrates,Plato,,
730,332,42.2,Richard II,Shakespeare,William,1564-1616
731,332,42.2,Earth Science,Tarbuck,Edward J.,
732,332,42.2,The Uncanny,Freud,Sigmund,1856-1939
733,332,42.2,Imperialism,Hobson,J. A. (John Atkinson),1858-1940
734,332,42.2,The Image of the City,Lynch,Kevin,1918
735,331,42,The Human Condition,Arendt,Hannah,1906-1975
736,331,42,Artificial Intelligence,Rich,Elaine,
737,331,42,Changes in the Land : Indians Colonists and the Ecology of New England,Cronon,William,
738,331,42,Database System Concepts,Silberschatz,Abraham,
739,330,41.9,The General Theory of Employment Interest and Money,Keynes,John Maynard,1883-1946
740,329,41.8,Understanding Organizations,Handy,Charles B.,
741,329,41.8,Crabgrass Frontier : The Suburbanization of the United States,Jackson,Kenneth T.,
742,329,41.8,Trojan Women,Euripides,,
743,329,41.8,Life in the Iron Mills,Davis,Rebecca Harding,1831-1910
744,329,41.8,Tartuffe,Moliere,1622-1673,
745,328,41.7,Prometheus,Aeschylus,,
746,328,41.7,Oedipus at Colonus,Sophocles,,
747,328,41.7,Quarterly Review,Federal Reserve Bank of Minneapolis,,
748,328,41.7,The Management of a Student Research Project,Sharp,John A.,
749,328,41.7,The Satanic Verses,Rushdie,Salman,
750,328,41.7,Brock Biology of Microorganisms,Madigan,Michael T.,1949
751,327,41.5,Contemporary Strategy Analysis,Grant,Robert M.,1948
752,327,41.5,Chapter 17,Great Britain,,
753,326,41.4,Artificial Intelligence,Hugo F.,Man,
754,326,41.4,The Modern World-System,Wallerstein,Immanuel Maurice,1930
755,325,41.3,Selected Poems,Dickinson,Patric,1914-1994
756,325,41.3,Classical Mechanics,Goldstein,Herbert,1922
757,325,41.3,The New Negro,Locke,Alain LeRoy,1886-1954
758,324,41.1,Elementary Differential Equations,Boyce,William E.,
759,324,41.1,The Castle of Otranto,Walpole,Horace,1717-1797
760,324,41.1,The Remains of the Day,Ishiguro,Kazuo,1954
761,324,41.1,Summa Theologiae,Thomas,Aquinas,1225?-1274
762,324,41.1,The Book of the Courtier Castiglione,Baldassarre,Conte,1478-1529
763,323,41,Fundamentals of Financial Management,Brigham,Eugene F.,1930
764,323,41,His Excellency : George Washington,Ellis,Joseph J.,
765,323,41,Short Stories,Hemingway,Ernest,1899-1961
766,322,40.9,Genes,Lewin,Benjamin,
767,322,40.9,Educational Psychology,Woolfolk,Anita,
768,322,40.9,Jude the Obscure,Hardy,Thomas,1840-1928
769,322,40.9,Aurora Leigh,Browning,Elizabeth Barrett,1806-1861
770,322,40.9,Development Economics,Ray,Debraj,
771,321,40.8,Works and Days ; And Theogony,Hesiod,,
772,320,40.6,Pantagruel,Rabelais,François,1490-1553
773,320,40.6,Watchmen,Moore,Alan,1953
774,320,40.6,The Strength of Weak Ties,Granovetter,Mark S.,
775,320,40.6,Ethics and Politics,Aristotle,,
776,320,40.6,Experiential Learning : Experience as the Source of Learning and Development,Kolb,David A.,1939
777,320,40.6,Piano Concerto : K. 491,Mozart,Wolfgang Amadeus,1756-1791
778,320,40.6,National Security,York,Herbert F.,
779,319,40.5,Understanding and Using English Grammar,Azar,Betty Schrampfer,1941
780,319,40.5,Vanity Fair,Thackeray,William Makepeace,1811-1863
781,319,40.5,The Logic of Scientific Discovery,Popper,Karl R. (Karl Raimund),1902-1994
782,319,40.5,Poetry Reading,Read,Sir Herbert Edward,1893-1968
783,319,40.5,The Battleship Potemkin,Eisenstein,Sergei,1898-1948
784,319,40.5,Economic Growth,Barro,Robert J.,
785,319,40.5,Carmen,Bizet,Georges,1838-1875
786,319,40.5,The Yellow Wall Paper,Gilman,Charlotte Perkins,1860-1935
787,318,40.4,Public Finance,Rosen,Harvey S.,
788,317,40.3,Conceptual Models and the Cuban Missile Crisis,Allison,Graham T.,
789,317,40.3,Masculinities,Connell,Raewyn,1944
790,317,40.3,Introduction to Quantum Mechanics,Griffiths,David J. (David Jeffery),1942
791,316,40.1,A Course in Phonetics,Ladefoged,Peter,
792,316,40.1,Mother Tongue,Tan,Amy,
793,316,40.1,Joseph Andrews,Fielding,Henry,1707-1754
794,315,40,Doing Gender,West,Candace,
795,315,40,Consider the Lobster,Wallace,David Foster,
796,315,40,Liberalism and World Politics,Doyle,Michael W.,
797,314,39.9,Cooperation Under the Security Dilemma,Jervis,Robert,1940
798,314,39.9,The Birthmark,Hawthorne,Nathaniel,1804-1864
799,314,39.9,Troilus,Chaucer,Geoffrey,-1400
800,314,39.9,Areopagitica,Milton,John,1608-1674
801,314,39.9,Karl Marx,McLellan,David,
802,314,39.9,Time Series Analysis,Hamilton,James D. (James Douglas),1954
803,313,39.7,A Rumor of War,Caputo,Philip,
804,313,39.7,Disgrace,Coetzee,J. M.,1940
805,313,39.7,Wallace Stevens,Williams,William Carlos,
806,313,39.7,Introduction to Probability Models,Ross,Sheldon M.,
807,313,39.7,A History of Graphic Design,Meggs,Philip B.,
808,313,39.7,Developmental Biology,Gilbert,Scott F.,1949
809,313,39.7,Sovereignty,Krasner,Stephen D.,
810,312,39.6,In Our Time,Hemingway,Ernest,1899-1961
811,312,39.6,Evelina,Burney,Fanny,1752-1840
812,312,39.6,Calculus : Concepts and Contexts,Stewart,James,1941
813,312,39.6,Discourse on Method and Meditations on First Philosophy,Descartes,René,1596-1650
814,312,39.6,Twentieth Century,Martin,Emily,
815,311,39.5,Digital Signal Processing,Proakis,John G.,
816,311,39.5,The False Promise of International Institutions,Mearsheimer,John J.,
817,311,39.5,Groups Process and Practice,Corey,Gerald,
818,311,39.5,The Curious Incident of the Dog in the Night-Time,Haddon,Mark,
819,311,39.5,A Brief History of Neoliberalism,Harvey,David,1935
820,311,39.5,Physical Examination & Health Assessment,Jarvis,Carolyn,
821,311,39.5,The Theory of Moral Sentiments,Smith,Adam,1723-1790
822,311,39.5,Starting Out With C++ : From Control Structures Through Objects,Gaddis,Tony,
823,311,39.5,The Second Shift,Hochschild,Arlie Russell,1940
824,311,39.5,The Poetics of Space,Bachelard,Gaston,1884-1962
825,311,39.5,Writing Analytically,Rosenwasser,David,
826,311,39.5,Writing Papers in the Biological Sciences,McMillan,Vicky,1947
827,311,39.5,The Democratic Peace,Russett,Bruce,
828,310,39.4,Style : Ten Lessons in Clarity and Grace,Williams,Joseph M.,
829,310,39.4,The Power of Myth,Campbell,Joseph,1904-1987
830,310,39.4,The Competitive Advantage of Nations,Porter,Michael E.,1947
831,310,39.4,The Tragedy of Great Power Politics,Mearsheimer,John J.,
832,310,39.4,A Guide to Econometrics,Kennedy,Peter,1943-2010
833,310,39.4,Intermediate Microeconomics : A Modern Approach,Varian,Hal R.,
834,310,39.4,An Essay on Criticism,Pope,Alexander,1688-1744
835,310,39.4,Halliday & Resnick Fundamentals of Physics,Walker,Jearl,1945
836,310,39.4,Deep Play: Notes on the Balinese Cockfight,Geertz,Clifford,
837,309,39.2,Textbook of Medical Physiology,Guyton,Arthur C.,
838,309,39.2,From the 'Prison Notebooks,Gramsci,Antonio,
839,309,39.2,Political Order in Changing Societies,Huntington,Samuel P.,
840,309,39.2,The Libation Bearers,Aeschylus,,
841,309,39.2,Introduction to Operations Research,Hillier,Frederick S.,
842,307,39.1,Measure for Measure,Shakespeare,William,1564-1616
843,306,39,Culture and Anarchy,Arnold,Matthew,1822-1888
844,306,39,The Caesars,Suetonius,,69-122
845,306,39,The Three Worlds of Welfare Capitalism,Esping-Andersen,Gøsta,1947
846,306,39,Florida State University,Woodward,Eddie,
847,306,39,The Radicalism of the American Revolution,Wood,Gordon S.,
848,305,38.9,Electra,Sophocles,,
849,305,38.9,Introduction to the Practice of Statistics,Moore,David S.,
850,305,38.9,The Killer Angels,Shaara,Michael,
851,305,38.9,The Age of Innocence,Wharton,Edith,1862-1937
852,305,38.9,International Business : Competing in the Global Marketplace,Hill,Charles W. L.,
853,305,38.9,English Passengers,Kneale,Matthew,1960
854,305,38.9,A History of the Modern Middle East,Cleveland,William L.,
855,305,38.9,The Nature of the Firm,Coase,R. H.,
856,304,38.7,An Introduction to Language,Fromkin,Victoria,
857,304,38.7,The Three Worlds of Capitalism,Esping-Andersen,Gøsta,1947
858,303,38.6,The Great War and Modern Memory,Fussell,Paul,1924-2012
859,303,38.6,The Will to Believe,James,William,1842-1910
860,303,38.6,Principles of Biomedical Ethics,Beauchamp,Tom L.,
861,303,38.6,Essential Cell Biology,Alberts,Bruce,
862,303,38.6,The Woman in White,Collins,Wilkie,1824-1889
863,302,38.5,Discourse on the Origin of Inequality,Rousseau,Jean-Jacques,1712-1778
864,302,38.5,Research Methods in Health : Investigating Health and Health Services,Bowling,Ann,
865,302,38.5,The Lone Ranger and Tonto Fistfight in Heaven,Alexie,Sherman,1966
866,302,38.5,In a Station of the Metro,Pound,Ezra,
867,301,38.3,Quicksand,Larsen,Nella,
868,301,38.3,Policy Paradox : The Art of Political Decision Making,Stone,Deborah,
869,301,38.3,Easter 1916,Yeats,W. B. (William Butler),1865-1939
870,301,38.3,Inferno,Dante Alighieri,1265-1321,
871,301,38.3,Classical Electrodynamics,Jackson,John David,1925
872,301,38.3,Cambridge University Press 1584-1984,Black,Michael H.,
873,300,38.2,Typhoon,Conrad,Joseph,1857-1924
874,300,38.2,Philosophy of Right,Hegel,Georg Wilhelm Friedrich,1770-1831
875,299,38.1,Symphony No. 28,Mozart,Wolfgang Amadeus,1756-1791
876,299,38.1,The Lost : A Search for Six of Six Million,Mendelsohn,Daniel Adam,1960
877,298,38,Simulacra and Simulation,Baudrillard,Jean,1929-2007
